Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Team
ALB,21.0,99.591,SOFT,10.0,Williams
ALB,22.0,99.588,SOFT,11.0,Williams
ALB,23.0,99.802,SOFT,12.0,Williams
ALB,24.0,99.89,SOFT,13.0,Williams
ALB,25.0,99.832,SOFT,14.0,Williams
ALB,28.0,97.503,HARD,2.0,Williams
ALB,29.0,98.127,HARD,3.0,Williams
ALB,30.0,97.931,HARD,4.0,Williams
ALB,31.0,98.104,HARD,5.0,Williams
ALB,32.0,97.919,HARD,6.0,Williams
ALB,33.0,98.104,HARD,7.0,Williams
ALB,34.0,97.961,HARD,8.0,Williams
ALB,35.0,97.984,HARD,9.0,Williams
ALB,36.0,98.176,HARD,10.0,Williams
ALB,37.0,98.038,HARD,11.0,Williams
ALB,38.0,98.33,HARD,12.0,Williams
ALB,39.0,98.346,HARD,13.0,Williams
ALB,42.0,97.211,SOFT,2.0,Williams
ALB,43.0,97.144,SOFT,3.0,Williams
ALB,44.0,97.327,SOFT,4.0,Williams
ALB,45.0,97.503,SOFT,5.0,Williams
ALB,46.0,97.577,SOFT,6.0,Williams
ALB,47.0,97.545,SOFT,7.0,Williams
ALB,48.0,97.684,SOFT,8.0,Williams
ALB,49.0,97.609,SOFT,9.0,Williams
ALB,50.0,97.695,SOFT,10.0,Williams
ALB,51.0,97.727,SOFT,11.0,Williams
ALB,52.0,97.861,SOFT,12.0,Williams
ALB,53.0,97.778,SOFT,13.0,Williams
ALB,54.0,97.78,SOFT,14.0,Williams
ALB,55.0,97.803,SOFT,15.0,Williams
ALB,56.0,98.159,SOFT,16.0,Williams
ALB,57.0,98.137,SOFT,17.0,Williams
ZHO,14.0,99.33,HARD,2.0,Alfa Romeo
ZHO,15.0,99.229,HARD,3.0,Alfa Romeo
ZHO,16.0,98.998,HARD,4.0,Alfa Romeo
ZHO,17.0,99.143,HARD,5.0,Alfa Romeo
ZHO,18.0,98.873,HARD,6.0,Alfa Romeo
ZHO,19.0,98.794,HARD,7.0,Alfa Romeo
ZHO,20.0,98.896,HARD,8.0,Alfa Romeo
ZHO,21.0,98.888,HARD,9.0,Alfa Romeo
ZHO,22.0,99.115,HARD,10.0,Alfa Romeo
ZHO,23.0,99.462,HARD,11.0,Alfa Romeo
ZHO,24.0,99.503,HARD,12.0,Alfa Romeo
ZHO,25.0,99.066,HARD,13.0,Alfa Romeo
ZHO,26.0,99.427,HARD,14.0,Alfa Romeo
ZHO,27.0,99.235,HARD,15.0,Alfa Romeo
ZHO,28.0,99.412,HARD,16.0,Alfa Romeo
ZHO,29.0,99.361,HARD,17.0,Alfa Romeo
ZHO,30.0,99.382,HARD,18.0,Alfa Romeo
ZHO,31.0,99.67,HARD,19.0,Alfa Romeo
ZHO,34.0,97.037,SOFT,5.0,Alfa Romeo
ZHO,35.0,97.55,SOFT,6.0,Alfa Romeo
ZHO,36.0,97.957,SOFT,7.0,Alfa Romeo
ZHO,37.0,98.003,SOFT,8.0,Alfa Romeo
